,comment,taste,service,mood,cospa
0,"毎年結婚記念日に伺います。
今年は半年程度遅れての記念日になってしまいましたが、いつ来ても洗練されていて幸せな気持ちで帰れます。",5,5,5,5
1,"いつ行ってもがっかりしたことのない、スキのない素敵なレストランです。シェフの出演した番組を見たらますます出される一皿に
興味もでてきました。今回初めて一休から予約してランチに行きました。メニューが一択なのでどんなものかな？と思いましたが、
充分楽しめました。このような時期なのでレストラン側も対策にも気を使われているようでした。",5,5,4,5
2,最高の環境、最高の料理、最高の思い出。ありがとう。,5,5,5,5
3,perfect and amazing,5,5,5,5
4,"すべてにおいて素晴らしかったです。
お料理は、どれもいい意味で想像していなかったさまざまな味の深みがあり、プレゼンテーションも素敵で、食事中ずっとワクワクしていました。一皿のお料理となるまでの厨房の方々のチームワークにも思いをはせつつ、おいしくいただきました。
昆布やわかめなどの食材も使われているのですが、見事にフレンチに溶け込んでいました。サーブされた時にほんのり漂った磯の香りのクリーム（二品目）が特に印象的でした。
前後しますが、アミューズには あられがアクセントとしてトッピングされ、飾りつけに稲穂も添えられていました。それを目にした時、シェフ、ティエリー・ヴォワザン氏が栃木の米農家を訪ねたテレビ番組のことが思い出されました。画面を通してヴォワザン氏の食材に対する真摯なお姿がとても印象に残っていたので、テーブルにご挨拶に来てくださり感激しました。
サービスは、どの方もスマートで丁寧、かつ、こちらを緊張させない和やかな雰囲気で素晴らしかったです。お料理やメニューに書かれている食材の産地名について、わからないことがあったので質問したところ、その場ですぐ的確にお答えくださるなど、プロフェッショナルな接遇はさすがの一言でした。
結婚記念日での利用だったため、いろいろとお心遣いをいただき、とても素敵な記念日となりました。本当にありがとうございました。",5,5,5,5
5,"主人のお誕生日＆退職祝いで利用しました。
受付やサービスしてくださるスタッフ皆さんから沢山お祝いのお声をかけて頂きました。
ソムリエの方の話しやすさ、お料理、サービス、全てにおいてパーフェクトです。
（デザートのころにシェフが各テーブルに挨拶に回られました。きめ細やかですね）
心地よい接客、洗練された値段の付けられない付加価値。
サプライズ＆パフォーマンス、素晴らしい。感動しました。
大切な日にレ セゾンを選んで本当に良かったです。有難うございました。",5,5,5,5
6,妻とのランチで利用させて頂きました。入り口から素敵な雰囲気。コロナ対策もしっかりで安心しました。席までスマートに案内して頂きました。先ずはコースメニューの説明。その後ドリンクオーダーとかなりスムーズ。勿論、こちらのペースで。お料理は一品一品丁寧ね説明があり、味も抜群。ドリンクご空きかけると店員さんが直ぐにオーダーを取りに来てくれます。料理の間にパンも出して頂き、ボリュームも十分でした。デザートの量もしっかりで、おまけにショコラまで。常に店員さんが気配りをして下さり、気分良く食事を楽しめました。今度はディナーで利用させて頂きたいと思います。,5,4.5,5,5
7,帝国ホテルのメインダイニングであるレ セゾンさんにランチに伺いました。お料理はさることながら感想を一言でいうとサービスが本当に素晴らしかったです。チームワークが完璧で一流とはこのことかと。結婚記念日であることは事前に伝えておりましたがサプライズがたくさんあり本当に感動しました。主人も毎年記念日はこちらで祝いたいねと大満足でした。いまだ夢の中にいるような素敵な経験をできました。ありがとうございました。,4.5,5,5,5
8,色々な店に行きましたが、フレンチではここが別格でした。ランチはとてとコスパがいいです。,5,4.5,4.5,5
9,コロナ禍でメニューがとても少なかったのが残念でした。お味とサービスはもちろん最高です。,3,4,5,3
